word,freq
Systems Engineer,3
Decision Analyst,3
Green Beret,3
Project Manager,3
Operations Research Analyst,2
Data Analyst,3
Cloud Computing,3
Technical Leadership,3
Data Engineer,3
Cloud Administrator,2
Azure,3
West Point,3
Data Scientist,3
Army,3
R,3
PYTHON,3
SysML,3
Agile,3
Design of Experiments,2
Simulation,2
JAVA,2
VBA,2
Digital Engineering,2
Artificial Intelligence,2
Social Network Analyst,2
Genetic Algorithms,2
Statistics,2
Optimization,2
Machine Learning,2
,2
